50000	0.00822101	0.0055925	0.00526157	
100000	0.0175497	0.0133284	0.0136809	
150000	0.0278097	0.0215011	0.0204397	
200000	0.0417435	0.0306006	0.028143	
250000	0.0493009	0.0349704	0.0363883	
300000	0.0679123	0.0456708	0.0426966	
350000	0.0736743	0.0536993	0.0497608	
400000	0.0970621	0.0657197	0.0582736	
450000	0.102434	0.0694625	0.0642368	
500000	0.117715	0.0774899	0.07187	
550000	0.130632	0.0859162	0.0792039	
600000	0.146503	0.0922167	0.0904423	
650000	0.160031	0.102229	0.0993682	
700000	0.175512	0.109806	0.104082	
750000	0.190379	0.119423	0.11315	
800000	0.203501	0.1282	0.124074	
850000	0.222643	0.136501	0.128663	
900000	0.234881	0.14677	0.137691	
950000	0.260219	0.168596	0.156868	
1000000	0.269484	0.164776	0.154124	
1050000	0.282923	0.173648	0.161675	
1100000	0.298297	0.182443	0.169039	
1150000	0.317501	0.228499	0.184207	
1200000	0.341845	0.204686	0.188271	
1250000	0.359864	0.210935	0.196975	
