5000 	0.008665	0.017281	0.008331
10000 	0.034776	0.080437	0.032363
15000 	0.07642	0.152679	0.073434
20000 	0.144906	0.270956	0.141074
25000 	0.222441	0.472865	0.208605
30000 	0.296651	0.621114	0.305193
35000 	0.42301	0.824799	0.429626
40000 	0.561028	1.08618	0.552914
45000 	0.747739	1.43376	0.675141
50000 	0.8197	1.69702	0.835982
55000 	1.04089	2.0827	1.0014
60000 	1.17841	2.47914	1.29176
65000 	1.56307	2.98587	1.36636
70000 	1.6393	3.32946	1.75161
75000 	1.99714	4.17878	1.8525
80000 	2.3589	4.60504	2.60125
85000 	2.53203	5.03534	2.45208
90000 	2.75904	5.82143	2.69043
95000 	2.9734	6.03833	2.93386
100000 	3.42224	6.74369	3.29113
105000 	3.96374	7.66148	3.68769
110000 	4.00597	8.49443	3.92852
115000 	4.40004	9.06123	4.31539
120000 	4.65579	9.62683	4.69736
125000 	5.40392	10.2729	5.05662
