5000 	0.032361	0.026605	0.018091
10000 	0.074488	0.105648	0.072414
15000 	0.164915	0.2377	0.16311
20000 	0.291612	0.422546	0.290619
25000 	0.457656	0.670484	0.472765
30000 	0.6722	0.998005	0.709869
35000 	0.961544	1.79805	0.922557
40000 	1.21988	1.72965	1.23057
45000 	1.55356	2.24453	1.47859
50000 	1.84865	2.73864	1.84334
55000 	2.30097	3.29225	2.22437
60000 	2.67406	3.83745	2.71247
65000 	3.15777	4.48472	3.14858
70000 	3.5868	5.91433	3.66746
75000 	4.30502	6.16093	4.31885
80000 	4.96642	7.32207	4.97218
85000 	5.838	7.99891	5.41323
90000 	6.26267	9.22997	6.02862
95000 	6.98271	10.5714	7.03682
100000 	7.4498	11.1717	7.56368
105000 	8.83641	12.0719	8.02582
110000 	9.11824	13.3631	9.0508
115000 	9.99222	14.1861	9.8971
120000 	10.4566	15.8986	10.9143
125000 	12.2159	18.0949	12.083
