5000 	0.010645	0.017917	0.008693
10000 	0.040651	0.071207	0.033834
15000 	0.084491	0.154781	0.074073
20000 	0.144154	0.26818	0.128417
25000 	0.222476	0.444307	0.226442
30000 	0.316887	0.596677	0.316916
35000 	0.450891	0.809678	0.392737
40000 	0.563015	1.09676	0.553366
45000 	0.687642	1.32735	0.648974
50000 	0.840833	1.65012	0.840123
55000 	1.02832	2.05318	1.00772
60000 	1.25197	2.45403	1.22459
65000 	1.46007	2.81113	1.38289
70000 	1.62491	3.29278	1.72256
75000 	1.88597	3.71099	1.80672
80000 	2.2277	4.28892	2.18393
85000 	2.44788	4.82883	2.36026
90000 	2.79057	5.40475	2.72223
95000 	3.05588	6.02442	2.8958
100000 	3.29206	6.77276	3.39427
105000 	3.73728	7.62951	3.61388
110000 	4.0541	8.01878	4.05729
115000 	4.6666	8.7784	4.27851
120000 	4.77594	9.98307	4.8294
125000 	5.59639	10.6391	5.03243
