5000  0.000432596 0.00958732 0.00919787 
10000  0.000919434 0.034973 0.0360177 
15000  0.00135387 0.0778615 0.0847158 
20000  0.00218806 0.162964 0.14996 
25000  0.00277414 0.262535 0.243448 
30000  0.00314537 0.345232 0.356825 
35000  0.00412622 0.430471 0.40997 
40000  0.00372864 0.534541 0.532518 
45000  0.0041799 0.723766 0.864285 
50000  0.00601265 0.984187 0.963927 
55000  0.00604571 1.36176 1.15484 
60000  0.00622976 1.52096 1.46672 
65000  0.00751557 1.80602 1.74902 
70000  0.00841907 1.96782 1.86208 
75000  0.00797656 2.27318 2.33886 
80000  0.0097381 2.5942 2.66781 
85000  0.0104373 2.69825 2.88836 
90000  0.0110836 3.45507 3.56387 
95000  0.012369 3.73467 3.60213 
100000  0.0109517 4.35044 4.27565 
105000  0.014915 4.26606 4.57864 
110000  0.0123666 4.67641 5.08172 
115000  0.0132008 5.46375 5.51603 
120000  0.0134674 5.8896 5.96314 
125000  0.0157187 6.51393 6.6073 
