5000  0.00040148 0.00858317 0.0064392 
10000  0.000816251 0.0316827 0.0277128 
15000  0.00159867 0.0763101 0.0582032 
20000  0.00176378 0.132135 0.10682 
25000  0.00240439 0.202263 0.164009 
30000  0.00267836 0.288961 0.233932 
35000  0.00313499 0.392875 0.331947 
40000  0.00373016 0.50591 0.417702 
45000  0.00407571 0.641784 0.515578 
50000  0.00506674 0.803741 0.654774 
55000  0.00532281 1.03626 0.806027 
60000  0.00568531 1.27183 0.950578 
65000  0.00606279 1.38025 1.40003 
70000  0.00829127 1.78659 1.3882 
75000  0.0073107 1.79523 1.9719 
80000  0.0100994 2.60436 2.16641 
85000  0.0101701 2.92104 2.42826 
90000  0.0116366 2.88386 2.37631 
95000  0.0104081 4.0399 2.73002 
100000  0.0122518 3.90761 2.62791 
105000  0.0144503 4.5542 3.60982 
110000  0.0143105 4.96593 3.98132 
115000  0.0137337 4.85609 3.93809 
120000  0.0139178 5.37488 4.56271 
125000  0.0143656 6.1594 5.16432 
