5000  0.000352874 0.00857682 0.00865244 
10000  0.000805372 0.034345 0.0347281 
15000  0.0012021 0.0803682 0.073807 
20000  0.00163588 0.130214 0.132318 
25000  0.00214397 0.209702 0.205914 
30000  0.00254054 0.305281 0.322174 
35000  0.00305023 0.408233 0.542973 
40000  0.00496769 0.703842 0.624246 
45000  0.00497789 0.786957 0.821366 
50000  0.00571369 0.848208 0.848773 
55000  0.0052243 1.14689 1.2304 
60000  0.0064058 1.50841 1.5698 
65000  0.00833392 1.68831 1.73499 
70000  0.00780739 1.91434 1.86784 
75000  0.00797101 2.1498 2.2027 
80000  0.00889578 2.2018 2.52982 
85000  0.00851626 3.00109 3.17743 
90000  0.0104113 3.13471 3.27855 
95000  0.0101371 3.76323 3.77768 
100000  0.0114917 3.75453 3.86195 
105000  0.01449 4.45041 4.28842 
110000  0.0115776 4.55442 4.51609 
115000  0.012617 5.32853 5.22468 
120000  0.0115502 5.76735 5.94495 
125000  0.0145356 6.3076 6.24313 
